Ligand0,Receptor0,z_pval,z,perm_pval,fdr,selected
PTPRC,MRC1,0.0,114.76599665106772,0.0,0.0,True
CD80,CD274,4.777362568925266e-08,5.334994883806706,0.0,0.0,True
CD80,CTLA4,1.400285817950132e-32,11.82790110506157,0.0,0.0,True
CD86,CTLA4,3.050190116615902e-98,21.003440493165012,0.0,0.0,True
CDH1,CDH1,0.0,506.8994132823559,0.0,0.0,True
PECAM1,PECAM1,0.0,419.7116972697782,0.0,0.0,True
NCAM1,NCAM1,0.0,337.73864958246486,0.0,0.0,True
PTN,SDC4,0.0,300.15139095720394,0.0,0.0,True
CXCL12,CXCR4,0.0,390.9606713968985,0.0,0.0,True
