Ligand0,Receptor0,Receptor1,z_pval,z,perm_pval,fdr,selected
PECAM1,PECAM1,,0.0,219.6076989821455,0.0,0.0,True
HLA-E,KLRC2,,2.4218413614993168e-14,7.536064177092979,0.0,0.0,True
HLA-E,KLRD1,,6.083091882764347e-40,13.175350045959632,0.0,0.0,True
HLA-E,KLRD1,KLRC2,4.455017873392739e-34,12.113947665303996,0.0,0.0,True
HLA-E,KLRD1,,6.083091882764347e-40,13.175350045959632,0.0,0.0,True
HLA-DPA1,CD4,,0.0,61.575045709959596,0.0,0.0,True
CXCL8,CXCR2,,0.0,55.371578585763,0.0,0.0,True
CXCL9,CXCR3,,1.4745008262588722e-10,6.301436201928002,0.0,0.0,True
CCL2,CCR2,,6.00241799278412e-14,7.416728855512107,0.0,0.0,True
EREG,ERBB2,,1.1344942670817676e-234,32.688585977904715,0.0,0.0,True
CXCL16,CXCR6,,0.019236323749731457,2.0697832406281518,0.010000000000000009,0.01480769230769232,True
HLA-A,CD8A,,6.859238662770373e-05,3.8131896288647456,0.010000000000000009,0.01480769230769232,True
TNFSF9,TNFRSF9,,0.0263326325423661,1.9376555112054419,0.010000000000000009,0.01480769230769232,True
ICOSLG,ICOS,,0.0018823860875247511,2.897227018646719,0.010000000000000009,0.01480769230769232,True
ICOSLG,CTLA4,,0.07028942505126758,1.4736388692515239,0.020000000000000018,0.029056603773584933,True
TNFSF18,TNFRSF18,,0.09282352254662629,1.3235665361707416,0.10999999999999999,0.15685185185185183,False
HLA-E,CD8A,,0.014027786197415702,2.1965084307760554,0.12,0.16799999999999998,False
HLA-A,CD8B,,0.00428524183451148,2.628728177491881,0.18999999999999995,0.2612499999999999,False
HLA-B,CD8A,,0.013101878413770892,2.223178635970255,0.24,0.32421052631578945,False
IL15,IL15RA,IL2RG,0.5136391974074717,-0.034195060756008436,0.6799999999999999,0.9027586206896551,False
HLA-C,CD8A,,0.8794605394745617,-1.1722942956027844,0.96,1.0,False
CCL5,CCR1,,0.9998633426530384,-3.639361684410801,1.0,1.0,False
CD40LG,CD40,,0.9999863252044255,-4.19448196356189,1.0,1.0,False
CDH1,KLRG1,,1.0,-10.290800147108744,1.0,1.0,False
CCL5,CCR3,,1.0,-17.552762082543854,1.0,1.0,False
HLA-B,CD8B,,0.23863840426715022,0.7106892728165177,0.89,1.0,False
VEGFA,KDR,,1.0,-93.3896935408015,1.0,1.0,False
HLA-C,CD8B,,0.9959628749166535,-2.648949056594475,1.0,1.0,False
HLA-E,CD8B,,0.8592682606388309,-1.0770375765087954,1.0,1.0,False
HGF,MET,,1.0,-55.38865473436555,1.0,1.0,False
FASLG,FAS,,0.7426788407926915,-0.6516262361596077,0.86,1.0,False
SPP1,CD44,,1.0,-22.142125622584846,1.0,1.0,False
TNFSF13B,TNFRSF13B,,0.9999858778587576,-4.187179197058927,1.0,1.0,False
TNFSF13,TNFRSF13B,,0.9999912628783142,-4.29493765833682,1.0,1.0,False
IL1B,IL1R1,,1.0,-45.515242894031566,1.0,1.0,False
IL7,IL7R,IL2RG,1.0,-18.053081483269377,1.0,1.0,False
IGF1,IGF1R,,0.9999999999999416,-7.42047853598741,1.0,1.0,False
VEGFA,KDR,,1.0,-93.3896935408015,1.0,1.0,False
CXCL10,CXCR3,,0.972450097094796,-1.9180883784688363,0.97,1.0,False
