Ligand0,Receptor0,Receptor1,z_pval,z,perm_pval,fdr,selected
CCL22,CCR4,,2.979276801645272e-11,6.544773719333715,0.0,0.0,True
HLA-DQA2,CD4,,1.0145451205282853e-98,21.055666576281975,0.0,0.0,True
HLA-DRB5,CD4,,0.0,87.46300565434952,0.0,0.0,True
NCAM1,NCAM1,,0.0,95.84302731585917,0.0,0.0,True
COL1A1,CD44,,0.0,48.62144539090432,0.0,0.0,True
FN1,CD44,,0.0,70.63344973699427,0.0,0.0,True
CXCL13,CXCR5,,6.14627104343552e-05,3.84021736695961,0.0,0.0,True
GAS6,AXL,,1.0671734829817907e-28,11.052398644684173,0.0,0.0,True
IL2,IL2RG,,4.0422094342308954e-13,7.159716305552507,0.0,0.0,True
IL2,IL2RG,,4.0422094342308954e-13,7.159716305552507,0.0,0.0,True
HLA-DRA,CD4,,0.0,97.81899711401948,0.0,0.0,True
CXCL8,CXCR1,,0.0,47.08624809403686,0.0,0.0,True
CCL5,CCR4,,6.4249515066557336e-24,10.016877138991093,0.0,0.0,True
CSF3,CSF3R,,2.6940999272012657e-66,17.15894668631961,0.0,0.0,True
IL3,IL3RA,,4.15121223180045e-05,3.9354983212585344,0.0,0.0,True
CSF1,CSF1R,,5.654251421231661e-44,13.858453142641658,0.0,0.0,True
EGF,EGFR,,2.0123982505286005e-132,24.45912094752385,0.0,0.0,True
EGF,EGFR,ERBB2,6.1788183059121e-132,24.41329015889686,0.0,0.0,True
AREG,EGFR,,0.0,185.5117657620636,0.0,0.0,True
AREG,EGFR,ERBB2,0.0,200.00248254804683,0.0,0.0,True
EREG,EGFR,,0.0,62.03462016457156,0.0,0.0,True
CXCL3,CXCR1,,4.7247203530357803e-48,14.517046799624492,0.0,0.0,True
EREG,EGFR,ERBB2,0.0,52.26498023494429,0.0,0.0,True
HLA-DQA1,CD4,,0.0,77.6116271614271,0.0,0.0,True
CXCL13,CXCR3,,3.318904461769511e-27,10.73953468484431,0.0,0.0,True
CCL4,CCR5,,1.0729823809208565e-128,24.10631966121808,0.0,0.0,True
CCL5,CCR5,,1.5760631091697988e-147,25.83999707572711,0.0,0.0,True
ICOSLG,CD28,,4.066294526194802e-06,4.461663422848456,0.0,0.0,True
CCL3,CCR5,,1.2415846417437035e-53,15.373020608125833,0.0,0.0,True
CCL19,CCR7,,1.1020907726818006e-16,8.210418894074413,0.0,0.0,True
CD80,CD274,,9.561664812393573e-22,9.509689050853135,0.0,0.0,True
CD80,CD28,,8.87282827531531e-19,8.770764935786897,0.0,0.0,True
CD80,CTLA4,,3.014083287340988e-09,5.815974473403622,0.0,0.0,True
CDH2,CDH2,,0.0,107.5922855461345,0.0,0.0,True
CCL3,CCR1,,0.0,45.84002549476375,0.0,0.0,True
CXCL12,CXCR4,,1.7397445386211668e-173,28.05491450481263,0.0,0.0,True
CDH1,CDH1,,0.0,298.62151491670306,0.0,0.0,True
CXCL3,CXCR2,,7.321530707728614e-06,4.333990322944391,0.0,0.0,True
