Ligand0,Receptor0,Receptor1,z_pval,z,perm_pval,fdr,selected
HLA-A,CD8A,,0.0,56.88775563704976,0.0,0.0,True
IL2,IL2RG,,1.3142304639207379e-61,16.520126527362315,0.0,0.0,True
EGF,EGFR,,0.0,179.8479603239422,0.0,0.0,True
EGF,EGFR,ERBB2,0.0,242.67905626640643,0.0,0.0,True
AREG,EGFR,,0.0,278.06811246133134,0.0,0.0,True
AREG,EGFR,ERBB2,0.0,360.6345405042651,0.0,0.0,True
EREG,EGFR,,0.0,218.78796018388923,0.0,0.0,True
IL2,IL2RG,,1.3142304639207379e-61,16.520126527362315,0.0,0.0,True
EREG,EGFR,ERBB2,0.0,286.57515012305964,0.0,0.0,True
IGF1,IGF1R,,0.0,59.68787230412777,0.0,0.0,True
IL7,IL7R,IL2RG,1.9330355729975725e-55,15.64034839526302,0.0,0.0,True
IL15,IL15RA,IL2RG,0.0,54.224487113313984,0.0,0.0,True
IL1B,IL1R1,,1.4906009885778983e-17,8.447298732644452,0.0,0.0,True
CSF1,CSF1R,,0.0,116.57228362849268,0.0,0.0,True
TNFSF9,TNFRSF9,,5.536450823484496e-148,25.88039136201078,0.0,0.0,True
EREG,ERBB2,,0.0,273.74639709879057,0.0,0.0,True
CCL22,CCR4,,0.0,256.7736505871358,0.0,0.0,True
CXCL16,CXCR6,,0.0,39.53588798873015,0.0,0.0,True
CXCL12,CXCR4,,2.001239901025551e-88,19.900829733998894,0.0,0.0,True
CCL5,CCR4,,0.0,74.57973028858699,0.0,0.0,True
CCL4,CCR5,,0.0,142.13655834818522,0.0,0.0,True
CCL5,CCR5,,0.0,163.49717064865533,0.0,0.0,True
CCL3,CCR5,,0.0,83.82264497335399,0.0,0.0,True
CCL19,CCR7,,0.0,276.8707754040204,0.0,0.0,True
CCL5,CCR1,,0.0,86.52642045660164,0.0,0.0,True
CXCL13,CXCR5,,0.0,79.86927123978421,0.0,0.0,True
CCL3,CCR1,,0.0,161.54036461379792,0.0,0.0,True
CCL5,CCR3,,3.924820209692243e-18,8.601769381332318,0.0,0.0,True
CXCL3,CXCR2,,1.1683517457071917e-82,19.223870809361628,0.0,0.0,True
CXCL8,CXCR2,,3.973386077746004e-31,11.543662814163348,0.0,0.0,True
CXCL9,CXCR3,,0.0,81.58419805241452,0.0,0.0,True
CXCL10,CXCR3,,0.0,40.95781354753024,0.0,0.0,True
CXCL13,CXCR3,,0.0,54.4719053712831,0.0,0.0,True
CCL2,CCR2,,1.2585243604351688e-288,36.28783233792594,0.0,0.0,True
SPP1,CD44,,0.0,272.7151002720093,0.0,0.0,True
TNFSF13B,TNFRSF13B,,1.8815741198677084e-15,7.862575427750206,0.0,0.0,True
GAS6,AXL,,0.0,131.80684866421396,0.0,0.0,True
HLA-E,KLRC2,,0.0,55.04070234549555,0.0,0.0,True
PECAM1,PECAM1,,0.0,465.0206413482458,0.0,0.0,True
CD274,PDCD1,,4.12079184915329e-13,7.15707629091757,0.0,0.0,True
HLA-E,CD8A,,0.0,41.21851346712275,0.0,0.0,True
CDH1,CDH1,,0.0,483.6409150446432,0.0,0.0,True
CDH2,CDH2,,0.0,306.021781527781,0.0,0.0,True
HLA-E,KLRD1,,0.0,45.60054669421653,0.0,0.0,True
CD80,CTLA4,,0.0,40.72518977527166,0.0,0.0,True
CD80,CD274,,0.0,71.67726429475958,0.0,0.0,True
HLA-C,CD8A,,0.0,57.125268699002845,0.0,0.0,True
ICOSLG,CTLA4,,0.007684665384337021,2.423557244670938,0.0,0.0,True
ICOSLG,CD28,,0.13080640572363705,1.1225873004348925,0.0,0.0,True
ICOSLG,ICOS,,3.769705686017886e-05,3.9585881545586457,0.0,0.0,True
HLA-B,CD8A,,0.0,50.62308197103358,0.0,0.0,True
CD80,CD28,,3.8304146761364134e-163,27.193937441700676,0.0,0.0,True
FASLG,FAS,,3.4879768959002263e-264,34.70350227008178,0.0,0.0,True
HLA-E,KLRD1,KLRC2,0.0,62.575712717775616,0.0,0.0,True
HLA-DPA1,CD4,,0.0,255.07950695140065,0.0,0.0,True
FN1,CD44,,0.0,157.39358677884053,0.0,0.0,True
NCAM1,NCAM1,,0.0,241.73757181580513,0.0,0.0,True
HLA-DRB5,CD4,,0.0,273.4773642737854,0.0,0.0,True
HLA-DQA2,CD4,,0.0,178.16697749667267,0.0,0.0,True
HLA-E,KLRD1,,0.0,45.60054669421653,0.0,0.0,True
HLA-DRA,CD4,,0.0,343.70262792347694,0.0,0.0,True
CCL17,CCR4,,0.0,148.35919682246734,0.0,0.0,True
HLA-DQA1,CD4,,0.0,272.09063190793836,0.0,0.0,True
HLA-E,CD8B,,7.664195936719389e-250,33.73933118203737,0.0,0.0,True
HLA-C,CD8B,,1.390175295603847e-279,35.70984915566625,0.0,0.0,True
HLA-B,CD8B,,0.0,40.87940825901001,0.0,0.0,True
HLA-A,CD8B,,0.0,40.763369784631045,0.0,0.0,True
CD40LG,CD40,,0.4581795597756654,0.10502103241709422,0.010000000000000009,0.01088235294117648,True
VEGFA,KDR,,1.0,-9.688757450994228,1.0,1.0,False
COL1A1,CD44,,1.0,-25.433987875352667,1.0,1.0,False
HGF,MET,,1.0,-33.848110342881014,1.0,1.0,False
TNFSF13,TNFRSF13B,,0.9999999999999724,-7.518877254452306,1.0,1.0,False
CDH1,KLRG1,,1.0,-9.185433854239692,1.0,1.0,False
VEGFA,KDR,,1.0,-9.688757450994228,1.0,1.0,False
